feature_set,features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
WEPR only,hallucination_probability,0.61,0.10839741694339397,0.7838095238095238,0.06872667610957407,0.6247619047619047,0.13662601021279464,0.6917642717102988,0.10961293900363066,0.6972380952380953,0.12492056432905775,0.8373968379279082,0.06896344723882597
Semantic entropy only,semantic_entropy,0.65,0.2091650066335189,0.8373626373626374,0.17066609809509609,0.6266666666666667,0.24984348842321863,0.7018759018759019,0.21058577900797643,0.6969047619047619,0.19038584166760664,0.822796164153307,0.10951250289058455
Semantic extended,"semantic_entropy, number_of_clusters, largest_cluster_ratio, unique_answer_count",0.63,0.1890767040118904,0.8345654345654345,0.16901668011485657,0.5980952380952381,0.22369804721215295,0.6840981240981241,0.19394568549541966,0.7004761904761905,0.1830014776342709,0.8233187368187368,0.10305396015366396
WEPR + Semantic entropy,"hallucination_probability, semantic_entropy",0.63,0.2018662923818635,0.8110805860805861,0.14744641966411173,0.6123809523809524,0.2349699647906972,0.6877952964909487,0.20409993504229532,0.6975238095238095,0.17927018841267153,0.8274717603804291,0.11269824523689673
WEPR + Semantic extended,"hallucination_probability, semantic_entropy, number_of_clusters, largest_cluster_ratio, unique_answer_count",0.63,0.2018662923818635,0.8110805860805861,0.14744641966411173,0.6123809523809524,0.2349699647906972,0.6877952964909487,0.20409993504229532,0.6954285714285715,0.18984854925789874,0.8348569910031653,0.11606186137040596
